PM2.5,PM10,NO2,NH3,SO2,CO,OZONE
258,192,24,2,87,65,5
85,106,67,14,12,34,20
83,103,21,NA,48,65,24
NA,NA,NA,NA,NA,88,21
NA,NA,NA,NA,NA,30,28
265,205,28,2,73,67,5
118,147,76,16,12,65,12
89,107,22,NA,48,69,24
NA,NA,NA,NA,NA,83,21
NA,NA,NA,NA,NA,33,23
263,203,27,2,72,71,5
128,153,79,16,12,71,8
133,144,30,NA,64,40,24
172,136,15,21,53,40,41
NA,NA,NA,NA,NA,NA,NA
281,195,35,2,46,92,5
162,175,107,20,20,47,9
135,145,30,NA,66,41,24
169,135,15,21,52,38,48
NA,NA,NA,NA,NA,NA,NA
282,194,36,2,46,88,5
168,177,109,21,23,43,11
259,171,92,12,30,42,85
223,119,95,17,20,53,26
289,274,139,21,8,65,7
262,145,53,3,30,68,70
NA,NA,NA,NA,NA,76,43
302,NA,NA,NA,60,65,33
152,134,43,12,17,53,28
261,210,32,NA,NA,100,38
316,NA,72,NA,4,72,11
224,130,69,13,21,59,15
240,132,9,5,9,46,41
153,134,61,18,7,41,16
NA,NA,NA,NA,NA,NA,NA
204,160,51,26,45,38,24
216,145,40,4,25,35,41
183,142,30,19,13,67,34
NA,NA,NA,NA,NA,69,45
238,111,7,9,8,34,14
276,181,16,34,4,69,9
72,NA,29,NA,23,76,26
303,300,84,NA,45,27,49
179,NA,10,NA,9,58,35
NA,NA,NA,NA,NA,27,46
110,224,39,7,32,128,7
195,141,40,8,21,33,41
203,150,62,10,6,24,158
167,106,69,7,13,65,27
NA,NA,NA,NA,NA,1,16
276,144,39,4,20,28,97
110,171,73,11,21,57,62
307,NA,NA,NA,45,42,106
NA,NA,NA,NA,NA,26,40
NA,NA,NA,NA,NA,104,41
293,NA,72,NA,6,17,54
298,157,75,11,17,53,21
301,152,8,5,8,26,48
134,126,50,18,5,41,16
251,156,40,23,51,22,28
243,139,24,3,NA,20,55
224,149,25,17,13,60,56
NA,NA,NA,NA,NA,46,12
246,128,7,10,8,46,12
108,NA,28,NA,19,5,42
NA,NA,NA,NA,NA,26,84
273,NA,8,NA,10,35,39
112,132,3,1,50,48,44
94,230,50,6,20,124,7
268,156,39,8,17,24,42
86,94,50,9,7,23,122
165,106,68,8,13,97,16
348,278,95,13,8,71,5
261,138,41,3,15,45,56
113,173,61,11,23,71,36
298,NA,NA,NA,45,80,33
147,132,30,17,8,29,8
296,179,25,NA,NA,104,24
288,NA,84,NA,9,72,12
294,142,64,12,13,83,10
296,138,8,5,6,44,8
112,101,48,15,4,44,5
NA,NA,NA,NA,NA,6,28
187,128,38,25,56,40,6
158,113,25,3,20,29,11
192,150,24,15,12,37,34
NA,NA,NA,NA,NA,28,33
220,135,8,10,8,37,12
116,NA,29,NA,12,3,9
252,230,102,6,37,26,8
253,NA,8,NA,9,54,28
102,123,3,1,51,36,11
89,214,50,6,25,122,7
120,106,30,8,18,26,21
87,89,52,9,8,25,84
167,110,70,8,12,90,18
353,271,93,12,8,52,8
255,136,41,3,17,38,79
126,179,65,11,23,60,45
310,NA,NA,NA,48,65,47
134,126,29,17,7,26,13
290,178,26,NA,NA,103,34
297,NA,91,NA,9,59,10
290,140,63,12,13,73,14
288,135,8,5,6,35,16
109,96,48,15,6,40,7
NA,NA,NA,NA,NA,6,26
180,123,41,25,56,43,5
157,110,26,3,24,26,14
205,156,23,15,12,38,40
NA,NA,NA,NA,NA,32,31
223,133,7,9,8,33,13
114,NA,28,NA,10,4,7
251,232,100,5,31,26,11
261,NA,9,NA,9,52,29
95,115,3,1,52,31,14
90,224,49,6,26,121,7
119,102,31,8,18,28,16
79,77,56,8,10,30,48
165,112,74,9,13,87,13
342,253,85,12,8,44,7
233,128,40,3,24,36,82
133,187,66,11,24,70,30
309,NA,NA,NA,49,63,34
116,113,24,16,6,17,21
273,175,27,NA,NA,104,32
290,NA,94,NA,9,66,10
252,125,60,12,13,162,13
267,125,8,5,5,16,26
99,85,47,16,6,35,8
NA,NA,NA,NA,NA,20,18
169,112,42,26,57,31,7
150,100,27,3,24,25,14
199,159,24,15,13,58,30
NA,NA,NA,NA,NA,38,17
232,124,7,10,8,26,11
80,NA,28,NA,10,5,5
233,217,93,6,30,20,26
238,NA,10,NA,9,40,28
79,100,3,1,52,25,17
85,218,50,6,27,120,7
123,96,37,8,17,39,8
77,75,56,8,11,29,48
163,111,75,9,11,91,10
337,249,82,12,8,44,6
228,125,39,3,26,36,85
131,188,67,11,24,71,24
304,NA,NA,NA,49,61,31
112,110,23,16,6,16,22
269,173,26,NA,NA,104,30
285,NA,94,NA,10,63,5
246,122,60,12,14,151,12
256,121,8,5,5,14,27
97,82,47,16,6,35,8
NA,NA,NA,NA,NA,22,15
167,110,42,26,57,29,8
146,98,27,3,24,26,14
197,159,24,15,13,61,26
NA,NA,NA,NA,NA,40,12
231,123,7,9,8,26,11
75,NA,27,NA,10,5,3
226,213,92,6,30,19,27
230,NA,11,NA,9,36,28
75,96,3,1,52,25,17
83,213,50,6,28,120,7
124,95,37,8,16,40,6
63,56,54,8,12,21,52
114,94,81,9,10,97,5
214,152,47,8,5,55,4
144,100,36,2,28,39,65
105,149,69,11,25,66,11
232,NA,NA,NA,42,55,27
56,66,14,9,6,26,14
NA,NA,NA,NA,NA,103,24
180,NA,86,NA,8,40,7
130,84,56,12,16,149,10
116,69,6,4,6,20,19
50,47,42,16,5,32,9
NA,NA,32,3,17,14,12
92,72,39,23,55,20,8
71,59,22,2,19,19,13
202,177,19,12,NA,48,29
111,106,67,22,26,36,19
169,98,7,8,8,27,13
